N,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10,
10000,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,
20000,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,
30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50000,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,
60000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
70000,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,
80000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
90000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
