N,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10,
20000,0.003,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,
40000,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,
60000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80000,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,
100000,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.001,
120000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,
140000,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,
160000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,
180000,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,
200000,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,
220000,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,
240000,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,
260000,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,
280000,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,
300000,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,
320000,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,
340000,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,
360000,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,
380000,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,
400000,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,
